sent_count,word_count,avg_sent_length,grade
16,386,24.125,2.0
20,464,23.2,2.0
14,313,22.3571,2.0
27,611,22.6296,3.0
30,517,17.2333,2.0
15,274,18.2667,2.0
30,580,19.3333,3.0
39,556,14.2564,3.0
35,512,14.6286,2.0
26,561,21.5769,2.0
22,373,16.9545,2.0
25,435,17.4,2.0
6,211,35.1667,2.0
25,332,13.28,1.0
13,197,15.1538,1.0
35,605,17.2857,3.0
18,385,21.3889,2.0
15,420,28.0,2.0
7,72,10.2857,1.0
11,181,16.4545,1.0
20,405,20.25,2.0
2,59,29.5,0.0
30,593,19.7667,3.0
39,674,17.2821,3.0
16,325,20.3125,2.0
22,429,19.5,2.0
7,142,20.2857,1.0
28,407,14.5357,2.0
23,432,18.7826,2.0
15,285,19.0,2.0
34,574,16.8824,3.0
36,588,16.3333,3.0
12,191,15.9167,1.0
26,416,16.0,2.0
33,473,14.3333,2.0
24,637,26.5417,3.0
31,554,17.871,3.0
17,379,22.2941,2.0
22,480,21.8182,3.0
15,215,14.3333,2.0
3,44,14.6667,0.0
14,304,21.7143,2.0
8,155,19.375,1.0
28,358,12.7857,2.0
20,371,18.55,2.0
11,325,29.5455,2.0
18,341,18.9444,2.0
33,626,18.9697,3.0
27,350,12.963,1.0
4,87,21.75,1.0
13,603,46.3846,2.0
15,263,17.5333,2.0
27,487,18.037,2.0
30,487,16.2333,3.0
11,260,23.6364,2.0
22,505,22.9545,3.0
23,333,14.4783,2.0
14,228,16.2857,2.0
22,491,22.3182,2.0
6,80,13.3333,1.0
23,337,14.6522,2.0
14,313,22.3571,2.0
17,326,19.1765,2.0
6,234,39.0,2.0
24,472,19.6667,2.0
25,415,16.6,2.0
20,329,16.45,2.0
33,458,13.8788,2.0
18,281,15.6111,2.0
28,510,18.2143,3.0
21,488,23.2381,3.0
25,611,24.44,3.0
21,468,22.2857,2.0
29,360,12.4138,2.0
21,391,18.619,2.0
19,374,19.6842,2.0
47,614,13.0638,3.0
33,520,15.7576,3.0
18,425,23.6111,3.0
21,470,22.381,2.0
16,411,25.6875,2.0
23,319,13.8696,2.0
9,220,24.4444,2.0
11,221,20.0909,1.0
31,606,19.5484,3.0
28,465,16.6071,2.0
39,519,13.3077,3.0
19,477,25.1053,2.0
29,267,9.2069,1.0
9,264,29.3333,2.0
15,256,17.0667,2.0
51,795,15.5882,3.0
22,609,27.6818,3.0
25,361,14.44,2.0
36,546,15.1667,3.0
15,262,17.4667,2.0
21,339,16.1429,2.0
34,484,14.2353,3.0
20,423,21.15,2.0
17,271,15.9412,2.0
40,544,13.6,3.0
26,362,13.9231,2.0
18,468,26.0,2.0
21,446,21.2381,3.0
34,622,18.2941,2.0
30,422,14.0667,3.0
52,724,13.9231,3.0
21,426,20.2857,2.0
24,393,16.375,2.0
13,265,20.3846,1.0
36,652,18.1111,3.0
29,464,16.0,2.0
28,374,13.3571,2.0
24,458,19.0833,2.0
29,595,20.5172,2.0
4,60,15.0,1.0
25,369,14.76,2.0
28,544,19.4286,3.0
37,596,16.1081,3.0
20,409,20.45,2.0
17,428,25.1765,2.0
29,596,20.5517,2.0
29,459,15.8276,3.0
9,288,32.0,2.0
1,178,178.0,1.0
10,294,29.4,2.0
23,437,19.0,2.0
30,455,15.1667,2.0
26,472,18.1538,3.0
